Token ID	Source Token	Source Lemma	Source POS	Translated Token	Translated Lemma	Synset ID	Link in Dictionary?	same_meaning	translation_equivalents
wf	U.N.	u.n.	 	 	 	 			
d000.s000.t000	group	group	N	گروپ	گروپ	bn:00041942n	FALSE		
wf	drafts	draft	 	 	 	 			
wf	to	to	 	 	 	 			
wf	reduce	reduce	 	 	 	 			
d000.s000.t002	emissions	emission	N	اخراجات	خرچ	bn:00027473n	FALSE		
wf	The	the	 	 	 	 			
wf	U.N.-sponsored	u.n.-sponsored	 	 	 	 			
d000.s001.t000	climate	climate	N	آب	آب	bn:00019780n	TRUE		
d000.s001.t001	conference	conference	N	کانفرنس	کانفرنس	bn:00021721n	FALSE		
wf	--	--	 	 	 	 			
wf	characterized	characterize	 	 	 	 			
wf	so	so	 	 	 	 			
wf	far	far	 	 	 	 			
wf	by	by	 	 	 	 			
wf	unruly	unruly	 	 	 	 			
wf	and	and	 	 	 	 			
wf	mutual	mutual	 	 	 	 			
d000.s001.t003	recriminations	recrimination	N	مذمت	مذمت	bn:00066603n	FALSE		
wf	--	--	 	 	 	 			
wf	gained	gain	 	 	 	 			
wf	renewed	renew	 	 	 	 			
d000.s001.t004	focus	focus	N	توجہ	توجہ	bn:00017153n	FALSE		
d000.s001.t005	Friday	friday	N	جمعہ	جمعہ	bn:00036512n	TRUE		
wf	with	with	 	 	 	 			
wf	the	the	 	 	 	 			
wf	of	of	 	 	 	 			
wf	a	a	 	 	 	 			
d000.s001.t007	document	document	N	دستاویز	دستاویز	bn:00028015n	TRUE		
wf	outlining	outline	 	 	 	 			
wf	ambitious	ambitious	 	 	 	 			
wf	greenhouse-gas	greenhouse-gas	 	 	 	 			
d000.s001.t008	reductions	reduction	N	گیسوں	گیسوں	bn:00025780n	FALSE		
wf	over	over	 	 	 	 			
wf	the	the	 	 	 	 			
wf	next	next	 	 	 	 			
wf	40	40	 	 	 	 			
d000.s001.t009	years	year	N	سالوں	سال	bn:00078738n	TRUE		
wf	","	","	 	 	 	 			
wf	with	with	 	 	 	 			
wf	industrialized	industrialize	 	 	 	 			
wf	nations	nation	 	 	 	 			
wf	shouldering	shoulder	 	 	 	 			
wf	most	most	 	 	 	 			
wf	of	of	 	 	 	 			
wf	the	the	 	 	 	 			
d000.s001.t010	burden	burden	N	بوجھ	بوجھ	bn:00013941n	TRUE		
wf	in	in	 	 	 	 			
wf	the	the	 	 	 	 			
wf	near	near	 	 	 	 			
d000.s001.t011	term	term	N	مدت	مدت	bn:00076588n	TRUE		
wf	.	.	 	 	 	 			
wf	The	the	 	 	 	 			
d000.s002.t000	text	text	N	متن	متن	bn:00076732n	TRUE		
wf	","	","	 	 	 	 			
wf	which	which	 	 	 	 			
wf	could	could	 	 	 	 			
wf	provide	provide	 	 	 	 			
wf	the	the	 	 	 	 			
d000.s002.t001	basis	basis	N	بنیاد	بنیاد	bn:00008786n	TRUE		
wf	for	for	 	 	 	 			
wf	a	a	 	 	 	 			
wf	final	final	 	 	 	 			
wf	political	political	 	 	 	 			
d000.s002.t002	deal	deal	N	معاہدے	معاہدہ	bn:00008568n	FALSE		
wf	to	to	 	 	 	 			
wf	regulate	regulate	 	 	 	 			
d000.s002.t003	greenhouse gases	greenhouse_gas	N	ہاؤس	ہاؤس	bn:00041712n	FALSE		
wf	","	","	 	 	 	 			
wf	highlighted	highlight	 	 	 	 			
wf	the	the	 	 	 	 			
wf	remaining	remain	 	 	 	 			
d000.s002.t004	obstacles	obstacle	N	باقی	باقی	bn:00058511n	FALSE		
wf	as	as	 	 	 	 			
wf	much	much	 	 	 	 			
wf	as	as	 	 	 	 			
wf	it	it	 	 	 	 			
wf	illuminated	illuminate	 	 	 	 			
wf	a	a	 	 	 	 			
d000.s002.t005	path	path	N	سے	سے	bn:00061005n	FALSE		
wf	forward	forward	 	 	 	 			
wf	.	.	 	 	 	 			
wf	But	but	 	 	 	 			
wf	it	it	 	 	 	 			
wf	was	be	 	 	 	 			
wf	seen	see	 	 	 	 			
wf	as	as	 	 	 	 			
wf	an	a	 	 	 	 			
wf	important	important	 	 	 	 			
d000.s003.t000	advance	advance	N	پیش	پیش	bn:00001549n	TRUE		
wf	in	in	 	 	 	 			
wf	a	a	 	 	 	 			
d000.s003.t001	negotiation	negotiation	N	مذاکرات	مذاکرہ	bn:00026838n	TRUE		
wf	that	that	 	 	 	 			
wf	is	be	 	 	 	 			
wf	running	run	 	 	 	 			
wf	out	out	 	 	 	 			
wf	of	of	 	 	 	 			
d000.s003.t002	time	time	N	وقت	وقت	bn:00077267n	TRUE		
wf	","	","	 	 	 	 			
wf	with	with	 	 	 	 			
wf	more	more	 	 	 	 			
wf	than	than	 	 	 	 			
wf	100	100	 	 	 	 			
d000.s003.t003	world	world	N	عالمی	عالمی	bn:00045153n	FALSE		
d000.s003.t004	leaders	leader	N	رہنماؤں	رہنما	bn:00050371n	TRUE		
wf	arriving	arrive	 	 	 	 			
wf	in	in	 	 	 	 			
d000.s003.t005	Copenhagen	copenhagen	N	کوپن	کوپن	bn:00022479n	FALSE		
wf	next	next	 	 	 	 			
d000.s003.t006	week	week	N	ہفتے	ہفتہ	bn:00014711n	TRUE		
wf	.	.	 	 	 	 			
wf	Forged	forge	 	 	 	 			
wf	by	by	 	 	 	 			
wf	a	a	 	 	 	 			
wf	U.N.	u.n.	 	 	 	 			
wf	ad-hoc	ad-hoc	 	 	 	 			
d000.s004.t000	working group	working_group	N	گروپ	گروپ	bn:00081604n	TRUE		
wf	","	","	 	 	 	 			
wf	the	the	 	 	 	 			
d000.s004.t001	text	text	N	یہ	یہ	bn:00076732n	FALSE		
wf	is	be	 	 	 	 			
wf	silent	silent	 	 	 	 			
wf	on	on	 	 	 	 			
wf	how	how	 	 	 	 			
wf	much	much	 	 	 	 			
wf	rich	rich	 	 	 	 			
d000.s004.t003	countries	country	N	امیر	امیر	bn:00023236n	FALSE		
wf	would	would	 	 	 	 			
wf	give	give	 	 	 	 			
wf	poor	poor	 	 	 	 			
d000.s004.t004	ones	one	N	غریبوں	غریب	bn:00058969n	FALSE		
wf	to	to	 	 	 	 			
wf	cope	cope	 	 	 	 			
wf	with	with	 	 	 	 			
d000.s004.t005	global warming	global_warming	N	سے	سے	bn:00040681n	TRUE		
