a	ان انـ اِن ایک بہت سے کل مشکل مسئلہ ذرا کچھ تھوڑا کافی خاصہ کئ پونا سوا واحدہ
abandon	آواروں آوارہ آوارے اجاڑ وسرجن چھوڑنا ڈال خاک ڈالنا کرنا بے پرواہی پن آوارَہ وسرجت تجنا تِیاگ تیاگنا ذہل سٹنا ہجرزدہ تعلق
abandonment	تْیاگ تیاگ بے چھاڑ
abase	اتارنا بے کرنا ہتک توہین
abhorrence	گھرنا گھن چڑھ کراہت کراہیت اِستکراہ گُریز گِھن مُنافرت نُفُور
ability	اوقات بَسوں بَسیں یوگیتو اہلیت صلاحیت اِستعداد اصلیّت بِرتا بُوتا توانائی جوگتا چاتُری دائو ڈھب سامرتھ سمبھَو لِیاقت مقدِرت مُکنت مُنھ ہِمّت ہوت مقدور
abject	ادنیٰ کمینہ مایہ نکمی پتِت پِھش مطروح
abode	ٹھکانا ٹھکانو ٹھکانوں ٹھکانے گَھر گھر گزارہ مسکن استھان باڑی بھوَن پُری تھان ٹِکائو ٹِھکانا ٹھورٹھکانا جھلیڑا دھام رہائش سکنہ کاشانہ کدہ ماوا مکان
abort	کرنا پیٹ بچہ ہونا
abortion	گربھ پات گَرْبھ اِجہاز
abortive	ابتدائی ابتدائ ناقص ناکارہ ضائع
about	کے میں منہ پھیری بارہ بارے جگہ کم متعلق ایک پاس کو کرب موجود
abrogation	انت
abrupt	اچانک ایکا ایکی
abscess	پھوڑا پھوڑو پھوڑوں پھوڑے پاکا
absence	ابھاو اَبھاو موجودگی جدائ ناغہ بِرہا پِیچھا جُدائی مہجوری
absolute	مطلق نتیہ درجہ حرارت مطلقہ بے کامل پورا مُکمّل
absolutely	اصل میں بالکل مطلقانہ ضرور اصلا ذرّہ صرِیح لاکلام نِپٹ ہرگز مکمل
absolutism	مطلق
abstract	کرنا مشکل الگ جدا خُلاصہ مجہول اخذ
abuse	مذمت مَذَمَّتوں مَذَمَّتیں گالی گالیاں گالیوں بے کرنا کہنا سلواتیں کام حرکت چوٹ گلوچ اُکٹنا اُگٹنا بکھاننا بھانڈنا بھوگ پَیغارہ سب صلواتیں گُوہار
abusive	مکھر لگام سلوک کلے
abysmal	اتھاہ اَتھاہ کی طرح گہری کھائ
abysmally	اتھاہی گہری کھائ
abyss	اتھاہ اَتھاہ گہری کھائ خلیج پاتال دہ گڑھا کھڈ گھور
academic	اکادمک
academy	ادارہ اِدارَہ اکادمی مدرسوں مدرسہ مدرسے مَدْرِسَہ ۃ مدرِسہ
accent	لہجہ اُچارن تاکید دھرن نبرہ
acceptable	اچھا اچھی اچھے بھاتا پسندیدہ
acceptance	تسلیموں تسلیمیں پزیرائ اِجابت اِستجابت پذیرائی پذیر
accident	حادثوں حادثے حادْثَہ حادثہ حادِثہ صدمہ
accommodate	آپ ٹھہرو گی گے ٹھہرے میں ٹھہروں وہ ٹھہریں ٹَھہَرْنا ٹھہر رہا تھا ہو ہوتا ہوں ہے رہی تھی تھیں ہوتی ہیں رہے تھے ہوتے کر، کے ٹھہرا ٹھہرتا ٹھہرتی ٹھہرتے ٹھہرنا ٹھہرنے ٹھہری ٹھہریں، ٹھہرئے ہم یہ آہنگ ہونا کرنا نِبھانا
accomplish	ادائیں اہل کامل ماہر مکمل سگھڑ یافتہ کرنا پار پورا اِکمال باکمال پارنا پُجانا پُورا پہلوان چاتُر سِدھ سماپت کردہ کرلانا مُکمّل مُنتہی نِباڑنا
accord	اتحادوں رائے موجب مطابق گوارہ معاہدہ پیمان سمجھوتہ مُطابقت یکجہتی تفقہ ہم ہنگی
accordant	سمان ہمساز
account	حساب حِسابو حِسابوں کھاتا کھاتو کھاتوں کھاتے گنتی جوڑ کیفیت مرتبہ اِمارہ بِیتی پِرتی تذکار چوائو ذِکر سِلک سِیاق سِیاہہ کارن لیکھا مُحاسبہ واسطہ حسابیں
accuracy	سچائی بالکل کھرا پن سچائ ٹھیک سِدّھی
accurate	ٹھیک اچُوک ٹِھیک سُدھ
accusation	دوشوں دعویٰ اپرادھ اِتّہام اُلانا اُلَہنا چُھدّا
ache	پیڑا کسک ہونا دکھنا چسکنا کسکنا دکھ ٹیس تپکنا تڑانا تصدیع تکلیف ٹِیس چسک چِیس چھنک دُکھ دُکھن دُکھنا کرَک کُھرچن لپک لہر
achieve	اپلبدھ حاصل کرنا نباہنا پانا پورا تعمیل تیر
acid	تیزآب تیزابوں تیز ترشہ پٹُو تُرشابہ چُوک چھار کھٹّا تیزابی
acidity	کَڑْوَا کڑوا پن کھٹائی کھٹاس امل پَن
acknowledgement	پرتِگّیا پرتِگّیاؤ پرتِگّیاؤں پرتِگّیائیں پرتگیا پہنچ
acknowledgment	دھنیہ شُہرہ
acquaintance	ملاقات پرچی آگاہی پہچان اور راہ کار آشنائی جانب آشنائ
acrid	چرپرا کڑوا تیز
act	اداکاری کرنا کریا قائم مقامی سوانگ پر تعمیل دکھاوا حرکت کھیلنا کار کرت کردہ کِریا ویوہار
action	ـکار کار کاریہ کام کریا اثر حرکت کاروائ کارروائی اُمُور پَیرائی حرکات کرنی کِریا کَوتک کِیا مُرافعہ ویوہار کارروا
activity	گتودھ چال پیش پھرتی آبادی سماں
actor	اداکار اداکارو اداکاروں اداکاریں بہروپیا بھانڈ بھرت سوانگی نِرتک نَوٹنکی
actress	اداکارہ
actual	اصلی ہو بہو اصل زِندہ
actually	اصل میں اصلاً یوں
acute	ذَہِین ذہین حادہ تیز چمتکاری حادّہ ذکی
adage	کہاوت ضرب مقُولہ
add	اضافہ کرنا مزید جوڑنا لگانا بڑھانا ڈالنا
addendum	اضافہ اِضافَہ ضمیمہ
addition	اضافہ افزائش افزائشو افزائشوں افزائشیں اِضافَہ جوڑ لگانا اِضافہ بڑَھوتری جُمل جوگ زوائِد زِیادتی ضمیمہ تکمیل زیادہ
address	پتہ یاد فرمائ خطاب کرنا اتاپتا بھاشن تقریرکرنا ٹِھکانا
adequacy	یوگیتو
