bottomless	اتھاہ اگم بے پیندہ
unfathomable	اتھاہ اگم عمیق بے حد گہرا لاانتہا ناقابل اندازہ ادراک
deep	اتھاہ پَیرائو ڈُباؤُ ڈُونگا ژرف عمیق غائِر غرقاب گمبھیر گہری گھور گہرا تر غور چوڑا دقیق ڈوبا ہوا غائر گھمبیر نیچا پکا شوخ
now	اب اِدھر الآن الحال آج بِالفعل بس حال حالا حالی درحال سو ابھی ہونے والے باربار کبھی پچھلے دنوں سے جب کہ چونکہ کل ایک دم فوراً فل موجودہ حالت وقت زمانہ
father	اب ابّا ابُو ابُّو ابیّ اتا آبا بابا باباجی بابُل بابُو باپ باوا بُو پاپا پِتا پِدر پِدرانہ تات جنک خُسر سُسر سُسرا لالہ مِیاں والِد سسر پدر والد
nowadays	اب آج کل ان دنوں
presently	اب حالی درحال سرِدست ابھی فل حال
denial	اِبا اِنکار تردید جرح سلب عُدُول کھنڈن نکیر نہیں واہ انکار نظر اندازی
abhorrence	اِبا اِستفراغ اِستکراہ دُویش رغم گُریز گِھن مُنافرت نفرت نُفُور چڑھ گھن کراہت کراہیت
refusal	اِبا اِعراض اِنکار جواب حِرماں دریغ عُدُول مُکر انکار منع
insubordination	اِبا عُدُولی عدول حکمی بغاوت نافرمانی سرکشی
disobedience	اِبا اِضراب اِنحراف بغی تمرُّد روگردانی سرتابی شوریدگی طُغیان معصیت وادی ناخلفی
abba	ابّا
dad	ابّا ابو
permission	اِباحت اِجازت اِذن امر آگّیا تاذِین جواز دستُوری رُخصت رضا منظوری ہاں پروانگی بار چھٹی اجازت پروانہ رخصت
liberty	اِباحت اِجازت اِستخلاص آزادگی چُھٹکارا حُرِّیّت
permissibility	اِباحت
licence	اِباحت اِجازت آگّیا پروانچہ پروانہ دستُوری چھوٹ
spice	ابازیر بِنجن پنساری توابِل چٹنی سٹھورا کِرانا کِریانہ مسالا مصالِحہ کرانا مصالحہ
yawn	اُباسی انگڑانا اُوباسی جماہی خمیازہ فاژہ یازہ نیم خوابیدہ انگڑائ لینا منہ کا پھٹ جانا انحراف پھیر
