english	urdu
u.n.	تکلیف نگرانی غم ہتک خوف ترد
draft	فتحت نوٹ پیشکش تصحیح
plan	تھکانا تھکا تھکاوٹ تھک
to	تک تکے
reduce	کمی کم کمیاب
the	یہ یہہ
u.n.-sponsored	تلاش فاید مساعدت امداد تر
climate	تھکاوٹ ہوا موسم
conference	ملاقات اجلاس پرستی مبارز
characterize	خصوصیت خصوص
so	سو
far	فار
by	کو سے پر نے کی کے
unruly	مضبوط بے نظم
posturing	تھا ست وضو حالات مقام
recrimination	تادیدی اظہار توبیخ
gain	فا دہ کسب کمزوری کامیابی
renew	بازیافت
focus	مرکزی نظر حلقہ انتقال
friday	جمعہ
with	فرا
of	ہو کے سے پر کی
a	ایک واحد واحدہ
document	فہرست کاغذ دستخط مستند
outline	فریم خط نقشہ چڑھایا
ambitious	تعبہ یہ عروج تلاش
greenhouse-gas	گیس خطرہ
over	تلے سے پہلے
next	لاح عدم اگلی بعد گے
year	سال محاسب زمانہ مفلوک
industrialize	توسعت دار صنایع
nation	قوم
shoulder	کندہ بال بازو
most	ست
burden	وزیرانہ دعاوی خوار بوجھ بگھار
near	نار
term	توقع شرط محدودیت محد
.	خوش دلخوش
text	تکست
which	جو کیسے کہ
could	دی
provide	توفید کرنا تعبدیل
political	تعبدی سیاسی اداروی مصلح
deal	دل لدل
regulate	کنٹرول کریں نظام ضبط رام رکھیں
greenhouse_gas	کیونکہ ہوا میں گیس
highlight	تھکانا
obstacle	دا وردہ
as	کواس
it	یہ ہاں اس یہا ہو
illuminate	دینا
path	پھوڑا درخوست مسیر تارہ تلوار
see	نظریں دیکھیں جیکے
important	اہم
advance	قدم پیشرفت مقدمہ
negotiation	تہذیب گفتگو مفاہمت
that	تھا تھی ہو
out	تے
more	زیادہ
than	تک
100	تاسع عشر
world	دنیا
leader	رہنما
arrive	نا پہنچنا درکار
copenhagen	کپنھ من
week	ہفتہ
forge	فروغ
ad-hoc	در
working_group	شاوڑا گروپ
silent	سلامت سکوت خاموش رام تیار
how	کیسے کیوں کسا
rich	ثروتمند
would	کارت کرے گا
poor	فقیر
one	ایک
cope	کامیاب توجہ تکمیل
global_warming	گلوبال وارمنگ
short	سبہ کوتاہ چھوٹا
long	لا طویل اچھا مستقل مضبوط
range	رنج پیدہ پہنچ
option	پشن امکان فرصت انتخاب
key	مفتاح چابیاں قفل
question	سوال
major	وڑ اہم بڑا اہمیت
emerge	فروغ ظہور پیدا ظاہر
economy	اقتصادی
they	وہ انہی
output	نتا نتیجہ فرخوش
what	کیا کیسے کون کونہ
global	جاتی عالمی
temperature	تھرم سخت درجہ تبدیل
rise	فرو ار ارتقا تک
policymaker	فاروس سیاست مدار ناظم
tolerate	تلافی تہہنہیں تحمل تکبر
lot	لوٹ
flexibility	انور لچک توجہ تکمیل
process	فعل کار عمل روش
say	کہنا بولنا
john	جون
coequyt	توازن مساوات
senior	انسانی عمر پرانی
washington	واشنگٹن
representative	ارعاز ین
sierra	سیرعا
club	چابک چمک چوٹی چور
michael	محمد عمر راشد
zammit	زمیٹ
who	کیو
six-page	تیرہ صفحہ
boil	پھیل
180-page	پر صفحات
top	ٹھپ
official	فرمانیہ ہدایتگار امینی مس ول
yvo	یاد ھی یادگار یادشوق
boer	توبہ توب
describe	فرضی تصریح وضوح اظہار وضاحت
big	بڑا
picture	صور تصویر عکس
show	دیکھنا نظرانداز کرنا پیشکش
possible	امکان مستقل مذہول موجہ
industrial	تھکاوارا صنعتی
collectively	جگتہ ایکجا جات
25	دل دلکا دلاب
percent	فقط الفاظ
level	سلسلہ متناہی مساوی سط
while	کھیلی ہو تھی جیسے ہوا
developing_country	تک دیکھ رکھنے والی کشور
theirs	تھا تھے
during	یادداشت کے درمیان
period	فصل موسم دورانیہ زمانہ
15	واحد
30	تینتیس
together	ایک ساتھ
between	تیرہ
50	جنب
european_union	یورپی اتحاد
talk	مرکزی بات گفتگو تبلیغ
boost	تکمیل کریں کرنا بہتر
well	وعد سخت خوب صحت
pledge	قسم وعدہ بیان
3.6	ست تین
billion	لا کروڑ
help	مرکوز
poorer	تعبہ
impact	ثیر
climate_change	تغ ہوا
from	فراہم کرنا لینے نا جیس
flood	فروغ سیلاب سیل تپاں
drought	شابی سی سیزی ہمارا ہو
avoid	تارک
still	سلامت ٹھیک مستقیم سست محدود
feature	فرماں روا خصوصیت نمایاں کرد
sort	مرتب سار ترتیب
verbal	تعبیر گفتگو لفظی بات
firework	رج چمک پہاڑ
have	ہو
past	تک
u.s.	امریکہ
special	تخصصی مختص فردی اہم متم
envoy	جاریہ مبعوث ممثلہ مشیر
todd	تڈ
stern	تعبہ سخت سختگرا سختدل
require	لازم احتیاج ضرورت مانا کرنا
