a	ا اـ ان انـ اِن ایک इन एक
abandoned	آوارو آواروں آوارَہ آوارہ آواری آوارے اجاڑ وسرجت आवारा उजाड़
abandoning	وسرجن विसर्जन
abandonment	تْیاگ تیاگ त्याग
abase	اتارنا उतारना
abbreviation	اختصار इख़्तिसार
abdomen	ادر شکم उदर उद्र शिकम
abduction	اغوا اِغْوا इग़्वा
abhorrence	گھرنا گھن घिन घृणा
ability	اوقات بس بَس بَسو بَسوں بَسیں زور قابلیت قابْلِیَت یوگیتا یوگیتو औक़ात क़ाब्लियत ज़ोर बस योग्यता योग्यत्व
abject	ادنیٰ अदना
ablution	اسنان سنان स्नान
abode	آواس ٹھکانا ٹھکانو ٹھکانوں ٹھکانے پد گَھر گھر आवास घर ठिकाना पद
abolition	نسخ
abominable	منحوس मनहूस
abomination	نحوست नहूसत
abort	اسقاط کرنا
abortion	اسقاط حمل گربھ پات گَرْبھ پات गर्भपात
abortive	ابتدائی इब्तिदाई
about	تقریباً کے بغل میں के बग़ल में तक़रीबन
abracadabra	منتر مَنْتَر मंतर
abreast	برابر बराबर
abridged	اجمالی इजमाली
abridgement	اختصار इख़्तिसार
abroad	پردیش परदेश प्रदेश
abrogation	انت अंत अन्त
abrupt	اچانک अचानक
abscess	پھوڑا پھوڑو پھوڑوں پھوڑے फोड़ा
absence	ابھاو اَبھاو دوری غیر حاضری अभाव ग़ैर हाज़िरी दूरी
absent	غائب ग़ायब
absolute	مطلق العنان نتیہ नित्य
absolutely	اصل میں असल में
absolutism	مطلق العنانی मुतलिक़-उल-अनानी
absorbing	روچک रोचक
abstention	اجتناب इजतिनाब
abstract	اخذ کرنا
absurd	لغو
abundant	بسیار बिसयार
abuse	مذمت مَذَمَّت مَذَمَّتو مَذَمَّتوں مَذَمَّتیں گالی گالیاں گالیو گالیوں गाली मज़म्मत
abusive	مکھر मुखर
abysmal	اتھاہ اَتھاہ अथाह
abysmally	اتھاہی अथाही
abyss	اتھاہ اتھاہ خلیج اَتھاہ کندرا अथाह अथाह ख़लीज कंदरा
academic	اکادمک
academy	ادارہ اِدارَہ اکادمی مدارس مدرسو مدرسوں مدرسہ مدرسے مَدْرِسَہ अकादमी इदारा मद्रिसा
acceleration	اسراع
accent	لہجہ लहजा
acceptable	اچھا اچھی اچھے अच्छा
acceptance	تسلیم تسلیمات تسلیمو تسلیموں تسلیمیں تَسْلِیم قبول قُبُول क़बूल तस्लीम
accepted	مقبول مَقبُول मक़बूल
accepting	راضی राज़ी
access	دوار दव्वार दुवार द्वार
accident	حادثو حادثوں حادثہ حادثے حادْثَہ हादसा
accidental	اتفاقی
accidentally	اتفاقاً इत्तिफ़ाक़न
