اتھاہ	bottomless unfathomable deep
اب	now father nowadays presently
اِبا	denial abhorrence refusal insubordination disobedience
ابّا	father abba dad
اِباحت	permission liberty permissibility licence
ابازیر	spice
اُباسی	yawn
اباطیل	falsehood lie
اُبال	anger rage
اُبالا	boil
ابالیس	satans lucifers
اِبتدا	begin origin source commencement birth start
اِبتداع	heresy innovation invention creation
اِبتدائی	initial preliminary elementary primary
اِبتدائیات	basic fundamental
اِبتدائیّہ	preface
اِبتذال	lewdness filth indecency vulgarity foulness triteness
ابتر	childless miserable scatter spoil deteriorate disorderly ruin confuse
ابتری	ruin disorder confusion mismanagement disorganization deterioration
اِبتسام	smile cheerfulness
اِبتغا	desire urge demand
اِبتکار	innovation initiative
اِبتلا	misfortune trial distress suffer temptation
اِبتہاج	happiness gaiety cheerfulness gladness
اِبتہال	beseech humbleness humility
اُبٹن	flour
ابجد	begin inception abjad
ابحاث	argument
ابحار	ocean
ابخرا	vapour fume
ابخل	avaricious covetous
ابدُالآباد	eternity
ابداً	eternally forever
اِبدا	declaration pronouncement
اِبداع	innovation invention creation
اِبدال	change exchange substitution
ابدان	body
ابدی	endless eternal
ابدیّت	eternity immortality
ابدھوت	devotee hermit yogi
ابردار	cloudy
ابرا	etc
اِبرا	acquittal remission release
ابرار	saint
اِبرام	emphasis insistence solicitation
اُبرانا	release liberate
ابرد	cold frigid
ابرش	piebald
ابرق	talc mica
ابرن	ornament(s jewellery
ابری	cloudy
اِبری	dandruff
ابریشم	silk
ابریشمی	silken
اِبریق	ewer
ابڑدھبڑ	pandemonium
ابس	weak intractable powerless unrestrained disobedient
اُبسنا	putrefy
ابصار	view look understand
اِبطا	procrastination
ابطال	hero
اِبطال	rebuttal refutation
ابعاد	dimension distance
ابعد	farth far
اِبقا	preservation perpetuation prolongation
ابکار	virgin
اُبکائی	retch nausea
ابکم	dumb
اُبکنا	disgorge expel vomit
اِبل	camel
ابلا	weak delicate woman
ابلاپا	weakness delicacy
اُبلا	boil
اِبلاغ	communication send convey
ابلج	obvious prominent vivid
ابلق	mottled piebald
اُبلنا	boil swell rise
ابلہ	silly stupid foolish
ابلہی	silliness foolishness
اِبلیس	lucifer satan
اِبلیسیت	devilry satanism roguery
اِبن	son
ابنا	people son tribe
اُبنہ	sodomy buggery
ابنیہ	basis foundation
ابُو	father
ابوالمنصور	dove
ابُّو	father papa
ابواب	taxis door cesse chapter
اُبُوّت	fatherhood paternity patriarchy
ابُوجھ	foolish insoluble ignorant witless unanswerable inconceivable
ابُوئین	ebionite
ابوی	paternal
اِبہام	uncertainty thumb confusion ambiguity
اُبّہت	greatness superiority
ابیّ	father daddy
ابیات	distichs verse couplet
ابیض	shin white bright
ابیقُوریت	epicureanism
اُبھار	persuasion swell excitement protuberance
اُبھارا	incentive stimulus motivation incitement encouragement
اُبھارنا	persuade raise excite urge
ابھاگ	misfortune unfortunate unlucky
ابھاگا	wretched unfortunate
ابھاؤ	want extinction annihilation poverty
اُبھرنا	rise grow flourish swell
ابھک	very much greatly
ابِھلاشا	desire crave longing
ابِھمان	arrogance haughtiness pride self
ابِھمانی	proud arrogant conceited
ابِھن	entire complete unbroken undivided
ابھوگ	futile useless unenjoye
ابھی	immediately now presently
ابِھّیاس	meditation practice contemplation
ابھید	identical
اپ	oneself self
اُپادھیا	teacher
اپار	boundless infinite
اُپاڑنا	uproot ruin eradicate
اُپاس	fast worship hunger
اُپاسا	hungry
اُپاسنا	fast adore adoration homage worship
اپاہج	cripple incapacitate disabled
اُپائے	scheme remedy contrivance device plan
اپت	insult offence disgrace
اُپٹنا	overflow
اپج	wicked mean
اُپج	innovation invention crop produce
اُپدرَو	pandemonium commotion turmoil
اُپدیش	counsel instruction advice admonition sermon
اُپدیشک	adviser preacher teacher
اپرادھ	fault accusation guilt transgression crime
اپرادھی	guilty transgressor faulty sinner offender criminal
اُپرالا	high exterior help back support upper
اُپرانا	rise
اُپرَوٹا	upstairs balcony
اپریل	april
اپسرا	nymph
اُپکار	favour kindness
اُپکاری	philanthropic helpful
اُپلا	cowpat
اُپلانا	float
اپمان	dishonour contempt disgrace
اپن	i mine my we
اپنا	personal our individual exclusive partner mine one my kindred relative own friend private
اپنائِیت	closeness friendliness intimacy
اپنگ	infirm disabled
اپواد	culpability blame reproach censure
اُپواس	fast starve hunger
اپوسم	opossum
اُپوَن	hedge grove shrubbery garden
اُپی	etc
اپیل	appeal
اپھار	bloat swell
اُپھان	froth effervescence foam swell
اپھر	arrogance flatulence haughtiness swell
اپھرا	swollen bloated satisfied elated
اپھرانا	bloat boast
اپھرائی	satiety
اُپھننا	fume
اتا	father
اتابِک	tutor teacher
اتاپتا	clue address location trace whereabout
اُتار	descent slope exorcism decrease fall reduction decline ebb
اُتارا	wharf cash sweet copy duplicate
اُتارنا	reveal unload etc exorcise copy low
اُتارُو	prepare slop inclined
اتاشی	attachè
اُتاق	room
اُتاقا	hoopoe etc
اُتال	impatient
اتالیق	teacher mentor instructor
اتالیقی	preceptorship tutorship
اُتاول	unease quickness haste hurry impatient unrest
اُتاولا	impatient restless rash
اتائی	charlatan quack
اِتّباع	obey obedience follow
اِتّحاد	union league concord treaty unity
اِتّحادی	supporter ally
اُترا	wear dishonour degrade decay disgrace aged fade
اُتراق	camp stopover
اُتران	slope gradient
اِترانا	strut
اُتراون	thick
اِتراہٹ	pride conceit
اُترائی	slope descent
اُترتا	decline mean descend wan fall
اُترن	cast
اُترنا	dismount abate disembark depreciate alight decrease wane decline cross
اِتّساع	expanse vastness
اُتسَو	happiness ecstasy rapture
اِتّصال	contact attachment union connection
اِتّفاق	concord chance unanimity agreement unity coincidence
اِتّفاقاً	incidentally
اِتّفاقی	casual
اِتّفاقیہ	casual
اِتّقا	righteousness piety
اِتقان	excellence perfection
اِتّکا	dependence reliance
اِتلاف	decay loss destruction ruin
اتَم	complete perfect
اُتّم	first good uppermost high
اِتمام	conclusion completion accomplishment
اُتُّو	plaiting embroidery pucker
اِتوار	sunday
اِتہاس	story annals history
اِتّہام	accusation imputation
اتیاچار	oppression wrongdoing tyranny
اِتیان	arrival execution come happen
اتیت	sadhu past gone mendicant pilgrim elapse
اتھک	untiring
اُتھل	unsteady waver
اُتھلانا	disarrange disorder
اُتھلنا	fall
اٹ	rust dust dirt filth
اٹاٹوٹ	extremely countless
