english	urdu
aback	پیچھے کو
abandoned	متروک اجاڑ ویران
abandoning	قطع تعلق
abandonment	بے وفائ دست برداری تیاگ
abandon	باز آنا چھوڑنا ڈال دینا خاک ڈالنا ترک کرنا بے پرواہی لاابالی پن وجد
abasement	بے عزت ہتک خواری توہین تذلیل ذلت
abase	بے عزت کرنا ہتک کرنا توہین کرنا اتارنا ذلیل کرنا
abashed	خجل پشیمان شرمسار
abashment	جھینپ خواری پشیمانی شرمندگی ذلت
abash	بد حواس کرنا شرمندہ کرنا
abatable	قابل تخفیف
abatement	گھٹاؤ گھاٹا کمی کٹوتی
abate	گھٹانا کم کرنا خذف کرنا تخفیف کرنا گھٹنا کم ہونا خذف ہونا تخفیف ہونا
abattoir	کمیلہ مذبح ذبح خانہ
abbey	خانقاہ
abbreviated	مخفف
abbreviate	خلاصہ کرنا مختصر کرنا
abbreviation	اختیار مخفف تقسیر
abdicate	چھوڑ دینا چھوڑنا ترک کرنا تیاگ دینا
abdication	دست برداری سبکدوشی
abdomen	بطن جوف کوکھ پیٹ شکم
abdominal	بطنی شکمی
abduction	اغوا
abduct	اغوا کرنا بھگانا
abeautiful person	لالہ رخ ماہ جبین
aberrant	گمراہ کج رو
aberration	دماغی خلل گمراہی انحراف کج روی
abetment	دست گیری اعانت مدد مدد گاری
abettor	حمایتی معاون جرم
abet	تحریص ترغیب
abhorrence	چڑھ گھن کراہت کراہیت نفرت
abhorrent	گھناونا حقارتی متنفر
abhor	گھننانا کراہت کرنا نفرت کرنا
abide	ڈیرا قیام رہنا سکونت ٹھیرنا
abiding	دیر پا مستقل پائے دار
ability	اہلیت حیثیت لیاقت مجال مقدور قابلیت قدرت صلاحیت طاقت
abjectness	دنایت کمینگی ذلت
abject	ادنیٰ بری کمینہ خوار فرو مایہ نیچ نکمی پست رذیل ذلیل ذلت آمیز
abjure	الفاظ واپس لینا انحراف کرنا انکار کرنا
ablaze	جلتا ہوا روشن شعلہ زن
able	اہل چست لائق مستعد پڑھا لکھا قابل قوی توانا
abloom	جوبن پر پربہار شاداب
ablution	دھلائ طہارت وضو
ably	قابلیت سے
abnegate	دست برداری انکار نفس کشی تردید
abnegation	انکار
abnormality	معمول سے انحراف
abnormal	غیر معمولی خلاف معمول مقام مستثنیٰ شاذ
aboard	پہلو با پہلو
abode	بیت دار گزارہ منزل مسکن ٹھکانا
abolish	باطل کرنا موقوف کرنا منسوخ کرنا رد کرنا
abolition	منسوخی موقوفی تنسیخ
abominable	گھناونا حقیر کریہہ لعنتی مکروہ پاپی قبیح
abominate	گھن آنا کراہت کرنا نفرت کرنا
aborigine	دیسی باشندہ پراچین
abortion	اسقاط حمل
abortive	ابتدائ ناقص ناکارہ قبل از وقت
abort	اسقاط کرنا حمل گرنا پیٹ گرنا بچہ ضایع ہونا
abounding	نہایت
abound	با افراط ہونا کثرت سے ہونا
about face	برعکس منہ پھیری
about	عدد اندازاً بارہ بارے در جگہ کم و بیش متعلق قریب قریب تقریباً
above all	مقدم
above	بالا فوق اوپر میں پر زبر
abrasion	گھسا گھسائ
abreast	شانہ بہ شانہ
abridgeable	قابل خلاصہ
abridged	مختصر
abridgement	اختصار
abridge	کم کرنا خلاصہ کرنا مختصر کرنا
abroad	بے ٹھکانا غلطی پر پردیس میں
abrogate	منسوخ کرنا معطل کرنا رد کرنا
abrogation	منسوخی
abruption	ٹوٹ
abrupt	اچانک ایکا ایکی یک لخت
abscess	دنبل پھوڑا
abscind	کاٹ دینا
absconder	بھگوڑا مفرور روپوش
absconding	فرار روپوش
abscond	بھاگ جانا فرار ہونا روپوش ہو جانا
absence	عدم موجودگی فراق فقدان فرقت جدائ ناغہ
absentee	غائب غیر حاضر
absently	عدم توجہی سے بے دھیانی سے
