sentence_id	text	translation	lemma	translation_token	translation_lemma
d000.s000	U.N. group drafts plan to reduce emissions	اقوام متحدہ کے گروپ کے اخراجات کو کم کرنے کے منصوبے کے مسودے	u.n. group drafts plan to reduce emissions	اقوام متحدہ کے گروپ کے اخراجات کو کم کرنے کے منصوبے کے مسودے	اقوام متحدہ کا گروپ کا خرچ کو کم کرنا کا منصوبہ کا مسودہ
d000.s001	The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .	اقوام متحدہ کی زیر اہتمام ہونے والی آب و ہوا کی کانفرنس - جو اب تک بے ضابطگی اور باہمی مذمت کے ساتھ نمایاں ہے - نے جمعہ کو ایک دستاویز کی رہائی کے ساتھ نئی توجہ حاصل کی جس میں اگلے 40 سالوں میں گرین ہاؤس گیسوں کی کم سے کم حد تک حد بندی کی گئی ہے ، جس میں صنعتی ممالک نے قریبی مدت میں زیادہ تر بوجھ اٹھایا ہے .	the u.n.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .	اقوام متحدہ کی زیر اہتمام ہونے والی آب و ہوا کی کانفرنس - جو اب تک بے ضابطگی اور باہمی مذمت کے ساتھ نمایاں ہے - نے جمعہ کو ایک دستاویز کی رہائی کے ساتھ نئی توجہ حاصل کی جس میں اگلے 40 سالوں میں گرین ہاؤس گیسوں کی کم سے کم حد تک حد بندی کی گئی ہے ، جس میں صنعتی ممالک نے قریبی مدت میں زیادہ تر بوجھ اٹھایا ہے .	اقوام متحدہ کا زیر اہتمام ہونا والا آب و ہوا کا کانفرنس - جو اب تک بے ضابطگی اور باہمی مذمت کا ساتھ نمایاں ہے - نے جمعہ کو ایک دستاویز کا رہائی کا ساتھ نئی توجہ حاصل کرنا جو میں اگلا 40 سال میں گرین ہاؤس گیسوں کا کم سے کم حد تک حد بندی کرنا جانا ہے ، جو میں صنعتی مُلک نے قریبی مدت میں زیادہ تر بوجھ اٹھنا ہے .
d000.s002	The text , which could provide the basis for a final political deal to regulate greenhouse gases , highlighted the remaining obstacles as much as it illuminated a path forward .	گرین ہاؤس گیسوں کو منظم کرنے کے لئے ایک حتمی سیاسی معاہدے کی بنیاد فراہم کرنے والا یہ متن باقی رکاوٹوں پر روشنی ڈالتا ہے اور اس سے آگے بڑھنے کا راستہ روشن ہوتا ہے۔	the text , which could provide the basis for a final political deal to regulate greenhouse gases , highlighted the remaining obstacles as much as it illuminated a path forward .	گرین ہاؤس گیسوں کو منظم کرنے کے لئے ایک حتمی سیاسی معاہدے کی بنیاد فراہم کرنے والا یہ متن باقی رکاوٹوں پر روشنی ڈالتا ہے اور اس سے آگے بڑھنے کا راستہ روشن ہوتا ہے ۔	گرین ہاؤس گیسوں کو منظم کرنا کا لئے ایک حتمی سیاسی معاہدہ کا بنیاد فراہم کرنا والا یہ متن باقی رکاوٹ پر روشنی ڈالنا ہے اور یہ سے آگے بڑھنا کا راستہ روشن ہونا ہے ۔
d000.s003	But it was seen as an important advance in a negotiation that is running out of time , with more than 100 world leaders arriving in Copenhagen next week .	لیکن یہ ایک اہم پیش رفت کے طور پر دیکھا گیا تھا ایک مذاکرات میں جو وقت ختم ہو رہا ہے ، 100 سے زائد عالمی رہنماؤں کے ساتھ اگلے ہفتے کوپن ہیگن پہنچنے .	but it was seen as an important advance in a negotiation that is running out of time , with more than 100 world leaders arriving in copenhagen next week .	لیکن یہ ایک اہم پیش رفت کے طور پر دیکھا گیا تھا ایک مذاکرات میں جو وقت ختم ہو رہا ہے ، 100 سے زائد عالمی رہنماؤں کے ساتھ اگلے ہفتے کوپن ہیگن پہنچنے .	لیکن یہ ایک اہم پیش رفت کا طور پر دیکھنا جانا تھا ایک مذاکرہ میں جو وقت ختم ہونا رہنا ہے ، 100 سے زائد عالمی رہنما کا ساتھ اگلا ہفتہ کوپن ہیگن پہنچنا .
d000.s004	Forged by a U.N. ad-hoc working group , the text is silent on how much money rich countries would give poor ones to cope with global warming over the short and long term .	اقوام متحدہ کے ایڈ ہاک ورکنگ گروپ کی طرف سے تشکیل کردہ ، یہ متن خاموش ہے کہ امیر ممالک مختصر اور طویل مدتی میں گلوبل وارمنگ سے نمٹنے کے لئے غریبوں کو کتنا پیسہ دیں گے .	forged by a u.n. ad-hoc working group , the text is silent on how much money rich countries would give poor ones to cope with global warming over the short and long term .	اقوام متحدہ کے ایڈ ہاک ورکنگ گروپ کی طرف سے تشکیل کردہ ، یہ متن خاموش ہے کہ امیر ممالک مختصر اور طویل مدتی میں گلوبل وارمنگ سے نمٹنے کے لئے غریبوں کو کتنا پیسہ دیں گے .	اقوام متحدہ کا ایڈ ہاک ورکنگ گروپ کا طرف سے تشکیل کردہ ، یہ متن خاموش ہے کہ امیر مُلک مختصر اور طویل مدتی میں گلوبل وارمنگ سے نمٹنا کا لئے غریب کو کتنا پیسہ دےنا گانا .
d000.s005	And it provides a range of options for the key questions , including how developed and major emerging economies would cut their carbon output , and what would be the upper limit of global temperature rise that policymakers would be willing to tolerate .	اور یہ کلیدی سوالات کے لئے اختیارات کی ایک رینج فراہم کرتا ہے ، بشمول کس طرح ترقی یافتہ اور بڑی ابھرتی ہوئی معیشتیں اپنے کاربن کی پیداوار میں کمی کریں گی ، اور عالمی درجہ حرارت میں اضافے کی اوپری حد کیا ہوگی جو پالیسی ساز برداشت کرنے کے لئے تیار ہوں گے .	and it provides a range of options for the key questions , including how developed and major emerging economies would cut their carbon output , and what would be the upper limit of global temperature rise that policymakers would be willing to tolerate .	اور یہ کلیدی سوالات کے لئے اختیارات کی ایک رینج فراہم کرتا ہے ، بشمول کس طرح ترقی یافتہ اور بڑی ابھرتی ہوئی معیشتیں اپنے کاربن کی پیداوار میں کمی کریں گی ، اور عالمی درجہ حرارت میں اضافے کی اوپری حد کیا ہوگی جو پالیسی ساز برداشت کرنے کے لئے تیار ہوں گے .	اور یہ کلیدی سوال کا لئے اختیار کا ایک رینج فراہم کرنا ہے ، بشمول کون طرح ترقی یافتہ اور بڑی ابھرنا ہونا معیشت اپنا کاربن کا پیداوار میں کمی کرنا گانا ، اور عالمی درجہ حرارت میں اضافہ کا اوپری حد کرنا ہونا جو پالیسی ساز برداشت کرنا کا لئے تیار ہے گانا .
d000.s006	It gives a lot of flexibility to the process , said John Coequyt , senior Washington representative for the Sierra Club .	سیرا کلب کے سینئر واشنگٹن نمائندے جان کوکیٹ نے کہا کہ اس سے اس عمل میں بہت زیادہ لچک پیدا ہوتی ہے۔	it gives a lot of flexibility to the process , said john coequyt , senior washington representative for the sierra club .	سیرا کلب کے سینئر واشنگٹن نمائندے جان کوکیٹ نے کہا کہ اس سے اس عمل میں بہت زیادہ لچک پیدا ہوتی ہے ۔	سیرا کلب کا سینئر واشنگٹن نمائندہ جان کوکیٹ نے کہہنا کہ یہ سے یہ عمل میں بہت زیادہ لچک پیدا ہونا ہے ۔
d000.s007	Michael Zammit Cutajar , who drafted the six-page document , boiled down a 180-page negotiation text to focus on what the U.N. 's top climate official , Yvo de Boer , described as `` the big picture . ''	چھ صفحات پر مشتمل دستاویز کو مرتب کرنے والے مائیکل زامیت کوٹاجر نے 180 صفحات پر مشتمل مذاکرات کا متن تیار کیا تاکہ اقوام متحدہ کے اعلیٰ آب و ہوا کے عہدیدار ، یوو ڈی بوئر نے وسیع تصویر کے طور پر بیان کیا ہو۔	michael zammit cutajar , who drafted the six-page document , boiled down a 180-page negotiation text to focus on what the u.n. 's top climate official , yvo de boer , described as `` the big picture . ''	چھ صفحات پر مشتمل دستاویز کو مرتب کرنے والے مائیکل زامیت کوٹاجر نے 180 صفحات پر مشتمل مذاکرات کا متن تیار کیا تاکہ اقوام متحدہ کے اعلیٰ آب و ہوا کے عہدیدار ، یوو ڈی بوئر نے وسیع تصویر کے طور پر بیان کیا ہو ۔	چھ صفحہ پر مشتمل دستاویز کو مرتب کرنا والا مائیکل زامیت کوٹاجر نے 180 صفحہ پر مشتمل مذاکرہ کا متن تیار کرنا تاکہ اقوام متحدہ کا اعلیٰ آب و ہوا کا عہدیدار ، یوو ڈی بوئر نے وسیع تصویر کا طور پر بیان کرنا ہونا ۔
d000.s008	It shows the outlines for a possible deal , in which industrial nations would collectively cut their emissions by 2020 by 25 to 45 percent compared with 1990 levels , while major developing countries would reduce theirs during the same period by 15 to 30 percent .	اس میں ایک ممکنہ معاہدے کے خاکے دکھائے گئے ہیں ، جس میں صنعتی ممالک مجموعی طور پر 1990 کی سطح کے مقابلے میں 2020 تک اپنے اخراجات میں 25 سے 45 فیصد کمی کریں گے ، جبکہ بڑے ترقی پذیر ممالک اسی مدت کے دوران 15 سے 30 فیصد کم کریں گے .	it shows the outlines for a possible deal , in which industrial nations would collectively cut their emissions by 2020 by 25 to 45 percent compared with 1990 levels , while major developing countries would reduce theirs during the same period by 15 to 30 percent .	اس میں ایک ممکنہ معاہدے کے خاکے دکھائے گئے ہیں ، جس میں صنعتی ممالک مجموعی طور پر 1990 کی سطح کے مقابلے میں 2020 تک اپنے اخراجات میں 25 سے 45 فیصد کمی کریں گے ، جبکہ بڑے ترقی پذیر ممالک اسی مدت کے دوران 15 سے 30 فیصد کم کریں گے .	یہ میں ایک ممکنہ معاہدہ کا خاکہ دکھانا جانا ہے ، جو میں صنعتی مُلک مجموعی طور پر 1990 کا سطح کا مقابلہ میں 2020 تک اپنا خرچ میں 25 سے 45 فیصد کمی کرنا گانا ، جبکہ بڑا ترقی پذیر مُلک یہ مدت کا دوران 15 سے 30 فیصد کم کرنا گانا .
d000.s009	Together , the countries would cut emissions between 50 and 95 percent by 2050 .	مل کر ، یہ ممالک 2050 تک 50 سے 95 فیصد کے درمیان اخراج میں کمی کریں گے .	together , the countries would cut emissions between 50 and 95 percent by 2050 .	مل کر ، یہ ممالک 2050 تک 50 سے 95 فیصد کے درمیان اخراج میں کمی کریں گے .	ملنا کرنا ، یہ مُلک 2050 تک 50 سے 95 فیصد کا درمیان اخراج میں کمی کرنا گانا .
