bn:00000086n	روز
bn:00000127n	گھنٹہ
bn:00000427n	موجودگی
bn:00000649n	قبول
bn:00000728n	معاہدہ
bn:00000739n	رپورٹ
bn:00000939n	حوالہ
bn:00000942n	عروج
bn:00001077n	کرنا
bn:00001127n	کارروائی
bn:00001134n	قانونی
bn:00001135n	کارروائی
bn:00001549n	پیش
bn:00001557n	ترقی
bn:00001561n	فائدہ
bn:00001582n	مخالف
bn:00001697n	سطح
bn:00001936n	عمر
bn:00001965n	طریقہ
bn:00002155n	مدد
bn:00002178n	ارادہ
bn:00002362n	عراق
bn:00003125n	تبدیل
bn:00003132n	اختیار
bn:00003263n	ماحول
bn:00003268n	دائرہ
bn:00003340n	جرمانہ
bn:00003341n	اشارہ
bn:00003341n	امریکہ
bn:00003341n	امریکی
bn:00003341n	متحدہ
bn:00003341n	کاری
bn:00003365n	واشنگٹن
bn:00003601n	رقم
bn:00003755n	کا
bn:00004352n	اعلان
bn:00004456n	والا
bn:00005019n	اپیل
bn:00005027n	شکل
bn:00005164n	تخمین
bn:00005516n	علاقہ
bn:00005599n	تنازعہ
bn:00005601n	بحث
bn:00005601n	مباحثہ
bn:00005732n	فوج
bn:00005886n	آمد
bn:00005917n	والا
bn:00006143n	کلائی
bn:00006383n	پہلو
bn:00006469n	کرنا
bn:00006559n	مفروضہ
bn:00006759n	کھیل
bn:00007047n	رویہ
bn:00007051n	وکیل
bn:00007146n	نہیں
bn:00007299n	حکومت
bn:00007449n	اوسط
bn:00007799n	حمایت
bn:00007799n	کرنا
bn:00007985n	مطالعہ
bn:00008279n	حلقہ
bn:00008568n	کرنا
bn:00008786n	بنیاد
bn:00008870n	زمین
bn:00008875n	ٹوکری
bn:00009472n	بستر
bn:00009652n	جانب
bn:00009664n	بھاری
bn:00009717n	تصور
bn:00009905n	فائدہ
bn:00010203n	بھارت
bn:00010262n	کرنا
bn:00010302n	ایکسچینج
bn:00011975n	زنجیر
bn:00012059n	کتاب
bn:00012212n	سرحد
bn:00012786n	برازیل
bn:00012862n	خلاف
bn:00012940n	دریافت
bn:00013240n	نشریاتی
bn:00013701n	جرثومہ
bn:00013701n	میکروب
bn:00013941n	بوجھ
bn:00014139n	کاروبار
bn:00014160n	قائم
bn:00014403n	بیکٹیریا
bn:00014710n	مہینہ
bn:00014711n	ہفتہ
bn:00015008n	کیمرا
bn:00015050n	مہم
bn:00015056n	امیدوار
bn:00015320n	قانون
bn:00015410n	صلاحیت
bn:00015496n	سرمایہ
bn:00015501n	واشنگٹن
bn:00015656n	پھانسی
bn:00016013n	تشویش
bn:00016013n	خوف
bn:00016286n	کارکردگی
bn:00016401n	صورت
bn:00016401n	مثال
bn:00016403n	کرنا
bn:00016448n	نقد
bn:00016851n	وجہ
bn:00017234n	صدی
bn:00017557n	کرنا
bn:00017559n	کرنا
bn:00017562n	حریف
bn:00017615n	شپ
bn:00017651n	تبدیلی
bn:00018105n	عنصر
bn:00018345n	بچہ
bn:00019219n	حالات
bn:00019404n	دعویٰ
bn:00019404n	کرنا
bn:00019780n	آب
bn:00019781n	مزاج
bn:00019848n	بار
bn:00019848n	وقت
bn:00019966n	کرنا
bn:00020352n	کوڈ
bn:00020356n	ضابطہ
bn:00020452n	معلومات
bn:00021015n	کمیٹی
bn:00021127n	یورپی
bn:00021164n	معنی
bn:00021207n	جمہوریت
bn:00021278n	میں
bn:00021286n	کمپنی
bn:00021348n	شکایت
bn:00021359n	تکمیل
bn:00021395n	حصہ
bn:00021556n	متعلق
bn:00021556n	کا
bn:00021558n	پریشانی
bn:00021584n	فیصلہ
bn:00021644n	حیثیت
bn:00021722n	لیگ
bn:00021743n	اعتماد
bn:00021769n	تنازع
bn:00021844n	کرنا
bn:00021846n	ہونا
bn:00021958n	اتفاق
bn:00021961n	اثر
bn:00021961n	نتیجہ
bn:00021976n	قدامت
bn:00022028n	استحکام
bn:00022078n	قانونی
bn:00022227n	معاہدہ
bn:00022263n	تضاد
bn:00022845n	ضبط
bn:00023012n	ریکا
bn:00023236n	ملک
bn:00023236n	مُلک
bn:00023288n	راہ
bn:00023301n	عدالت
bn:00023326n	عدالت
bn:00023362n	رپورٹنگ
bn:00023681n	یونین
bn:00023807n	جرم
bn:00023844n	بحران
bn:00023858n	ناقد
bn:00024112n	تیل
bn:00025080n	نقصان
bn:00025170n	خطرہ
bn:00025236n	رات
bn:00025364n	بیٹی
bn:00025417n	دن
bn:00025645n	دسمبر
bn:00025646n	دہائی
bn:00025872n	دفاع
bn:00025916n	کمی
bn:00025965n	ڈگری
bn:00026025n	نمائندہ
bn:00026603n	قسمت
bn:00026622n	تفصیل
