bound	بستہ
giving	بخشش
little	ٹک
clink_clink	کھن کھن
honourable	با آبرو
notable	با اثر
royal	بادشاہانہ
more	اغلب
almond	بادامی
charging	حملہ آور
great	بزرگ
hairy	بال دار
liberal	حاتم
miserly	بخیل
old	بوڑھا
penetrating	باریک بیں
revolting	باغی
skilful	بانی
some	بعض
third	ثالث
trusty	ثقہ
wishing_evil	بد خواہ
(hence	حمام کی لنگی
(in_football	پیش رو
(originally_roughness_or_rudeness	جفا
miser	جک
independence	استقلال
tiger_like	پلنگی
unlucky_weight	کم بخت
da	ط
tendril	سوت
ice_cream	آئس کریم
abandon	دست بردار
abandoned	آوارہ
abandoned	خراب
abandoned	خوار
abandoned	رہت
abandoned	ناچار
abandoned	گم راہ
abandoning	بترن
abandoning	تارک
abandoning	رفض
abandoning	نفی
abandoning_the_world	تارک الدنیا
abandonment	تعطیل
abandonment	سنیاس
abandonment	فراق
abandonment	فرقت
abandonment.	قطع تعلق
abandonment_of_the_world	سنیاس
abase.	پچھاڑنا
abased	ذلیل
abasement	ذلت
abasement	رغم
abasement	زلت
abashed	شرمیلا
abashed	نادم
abashed	پشیمان
abated	دھیمی
abated	کم
abatement	تخفیف
abatement	نرمی
abbreviating	تخفیف
abbreviating	ترخیم
abbreviation	ترخیم
abdomen	بطن
abdomen	کوٹھا
abhorrence	کراہت
abhorrence	گریز
abhorrence	گھن
abhorrence.	رغم
abide	بسنا
abide	ٹکنا
abide	ٹھہرنا
abiding	رہنے والا
abiding	پرواس
ability	آگرہ
ability	استحقاق
ability	استطاعت
ability	بوتا
ability	توانائی
ability	حیثیت
ability	دسترس
ability	ذھن
ability	سواد
ability	طاقت
ability	کفایت
ability_to_dispense_with	استغنا
ability_to_do_without	قناعت
abject	جبان
abject	خانہ خراب
abject	خوار
abject	فرومایہ
abject	نادیدہ
abject	کمینہ
abjectness	ذلالت
abjectness	ذلت
abjectness	زلت
abjectness	مذلت
abjuration	لعنت
able	توانا
able	قادر
able	لائق
able_to_dispense	غنی
ablution	اشنان
ablution	طہارت
ablution	غسل
abode	آشرم
abode	اقامت گاہ
abode	الہ
abode	باسا
abode	بستی
abode	بھون
abode	بیت
abode	رہائش
abode	رہاس
abode	رہت
abode	ماوی
abode	مسکن
abode	وطن
abode	پرواس
abode	گھر
abode_of_a_hermit	آشرم
abolish	توڑنا
abolishing	ابطال
abolition	ابطال
abominable	گھناؤنا
abortive	برباد
abounding_in_good_things	پر نعمت
abounding_in_kankar	کنکریلا
abounding_in_leather	چرم کار
about	تخمیناً
about	تقریباً
about	قریب
about	لگ بھگ
above	اونچا
above	بالا
above	بر
above	عن
above-mentioned	مرقوم
abraham	ابرام
abraham	ابراہیم
abraham.	خلیل اللہ
abridged	مجمل
abridgement	اجمال
abridgment	تلخیص
abrogation	تنسیخ
abrupt.	گستاخ
abruptness	جلدی
absconded	روپوش
absconding	رو پوش
absconding	روپوش
absconding	روپوشی
absence	ابھاو
absence	بروگ
absence	برہ
absence	غیبت
absence	فراق
absence	پیچھا
absence_of_ornament	سادگی
absent	غائب
absent	غیب
absent	غیبی
absent	فراق زدہ
absent	ناغہ
absent	گم
absolute	خود سر
absolute	مختار
absolute.	غیر مشروط
absolute_dominion	استبداد
absolute_power_or_authority	استقلال
absolute_rule	تسلط
absolutely	علی الاطلاق
absolutely	محض
absoluteness	استقلال
absolution	عفو
absolution	نجات
absolution.	غفران
absolved	فارغ
absolved	مبرا
absorb	کھینچنا
absorbed_or_wholly_engaged	استغراق
absorption	جذب
abstaining	اتقا
abstaining	احتراز
abstaining	امساک
abstaining	پرہیز
abstaining	گریز
abstaining_from_speech	صوم
abstemious	پری
abstemious	کم خوراک
abstemious_person	پری
abstemiousness	پرہیز
abstention	اٹک
abstinence	اتقا
abstinence	اجتناب
abstinence	احتراز
abstinence	عفت
abstinence	قناعت
abstinence	ورزش
abstinence	پرہیز
abstinence	پرہیز گاری
abstinence	گریز
abstinent	تارک الدنیا
abstinent	زاہد
abstinent	عفیف
abstinent	پری
abstract	اجمال
abstract_account	مجمل حساب
abstract_of_an_account	گوشوارہ
abstract_of_individual_accounts	کھاتا بندی
abstraction	غور
abstruse	غامض
abstruseness	اغلاق
abstruseness	دقت
abstruseness	پیچیدگی
absurd	خام آمدنی
absurd	عبث
absurd	لغو
absurd	ناساز
absurd	نامعقول
absurd	پوچ
absurdity	تضاد
absurdity	پوچ
absurdity	پھکوڑیات
abundance	ارزانی
abundance	افراط
abundance	اٹال
abundance	ایلغار
abundance	برکت
abundance	بہتات
abundance	ریل
abundance	ریل پیل
abundance	زیادتی
abundance	فراوانی
abundance	فیضان
abundance	ٹھاٹ
abundance	کثافت
abundance	کفایت
abundance_of_foliage	جھوم
abundant	ارزاں
abundant	بسیار
abundant	بھور
abundant	بہتیرا
abundant	فراواں
abundantly	بھور
abuse	بھوگ
abuse	دشنام
abuse	قباحت
abuse	مذمت
abuse	گالی
abuse_of_wealth	اسراف
abusing	فضیحت
abusive	بدزبان
abusive_or_contumelious_expression	گالی
abyss	ڈونگائی
abyss	گرداب
abyssinia_or_the_abyssinians	حبشی
abyssinians_or_ethiopians	حبش
academy	اقادیمہ
academy	اکادمی
academy	اکیڈمی
academy	مدرسہ
accasional	اتفاقی
accentuated	زدہ
accept	پانا
acceptable	خوش
acceptance	پرگرہ
accepted_signification	اصطلاح
accepter	گاہک
accepting	تسلیم
accepting	قبول
accepting	پرگرہ
access	آمد
access	آوا جاوی
access	تقریب
access	دخل
access	درآمد
access	رسائی
access	مداخلت
access	نوبت
access	پرندھان
access	پرویش
access	پہنچ
access	گت
accession	جلوس
accession_to_the_throne	تخت نشینی
accident	اتفاق
accident	حادثہ
accident	حدث
accident	رو داد
accident	سنجوگ
accident	صدمہ
accident	عارضہ
accident	نوبت
accident	واقعہ
accidental	اتفاقی
accidental	عارضی
accidental.	غیر متعین
accidentally	اتفاق سے
accidentally	اتفاقاً
accidentally	ناگہاں
accidents.	سوانح
accidents_or_vicissitudes	گرم سرد
acclamation	تحسین
acclivity	تپری
acclivity	گاؤدم
accommodation	آشتی
accompaniments	لوازمہ
accompanying_a_singer	ٹھیکا
accomplice	دخیل
accomplice	ساتھی
accomplice	پٹھوال
accomplished	پرسدھ
accomplished	پرکرت
accomplished	پورا
accomplished	پورت
accomplishing	اکمال
accomplishing	تتمیم
accomplishing	پرداز
accomplishing_(ones(_purpose	کارگر
accomplishment	اتمام
accomplishment	ادا
accomplishment	انصرام
accomplishment	بجا آوری
accomplishment	تتمیم
accomplishment	عقبی
accomplishment	نکاس
accomplishment	پرداز
accord	اتفاق
according	باعتبار
according_to	ب
according_to	بحسب
according_to	بر
according_to	بقول
according_to__accounts	لنکا
according_to_rule	باضابطہ
according_to_rule	ٹھیک
according_to_the_abjad	گ
according_to_the_muhammadans)	عیدالاضحی
according_to_the_shias	بقر عید
accordingly	اس پر
accost	ٹوکنا
account	اکاؤنٹ
account	اکاونٹ
account	بابت
account	بات
account	تقریر
account	جاننا
account	حال
account	حساب
account	رو داد
account	شمار
